analysis_id,4w039534hzf423i
pvalue,0.652093
parameter_name,Effector gd T cells - % of gd T cells
mouse_life_stage,Early adult
gene_accession_id,MGI:3046938
mouse_strain,C57BL
parameter_id,MGP_IMM_020_001
gene_symbol,Hrnr
