analysis_id,2lbnnmv223444di
gene_symbol,Ufc1
pvalue,0.918509
gene_accession_id,MGI:1913405
parameter_name,Contact righting
parameter_id,JAXLA_CSD_077_001
mouse_strain,C57BL
mouse_life_stage,Early adult
