parameter_name,Whole arena resting time
mouse_strain,C57BL
pvalue,0.506554
gene_symbol,Ubxn11
gene_accession_id,MGI:1914836
analysis_id,uzk14pkqv98m75z
parameter_id,JAXLA_OFD_007_001
mouse_life_stage,Early adult
