gene_symbol,Cds2
parameter_id,MGP_IMM_110_001
mouse_life_stage,Early adult
mouse_strain,129SV
parameter_name,Transitional 1 B cells - % of CD45+
gene_accession_id,MGI:1332236
pvalue,0.7708221
analysis_id,48097194a799d97
