parameter_name,Corneal opacity
gene_accession_id,MGI:3588214
mouse_strain,C57BL
analysis_id,j1481818028n4ht
parameter_id,IMPC_EYE_008_001
mouse_life_stage,Early adult
gene_symbol,Rufy4
pvalue,0.8745946
