gene_symbol,Ssr2
parameter_id,IMPC_DXA_009_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1913506
parameter_name,Fat/Body weight
pvalue,0.07519474
analysis_id,4b3cjb8i327s5ng
mouse_strain,C57BL
