analysis_id,hj39609608i49xm
mouse_life_stage,Early adult
gene_accession_id,MGI:1924054
mouse_strain,C57BL
parameter_name,Placenta Morphology
pvalue,0.9181387
gene_symbol,Kdm4c
parameter_id,IMPC_GPO_002_001
