parameter_name,eye size
parameter_id,ESLIM_001_001_117
gene_symbol,Tnfsf8
gene_accession_id,MGI:88328
analysis_id,s5p1ni5bqndx8gu
pvalue,0.7645667
mouse_strain,C57BL
mouse_life_stage,Early adult
