analysis_id,g94g47gwd9o80ol
pvalue,0.3159747
mouse_life_stage,Middle aged adult
mouse_strain,C57BL
gene_accession_id,MGI:2140475
parameter_name,KLRG1+ NK cells - % of CD45+
parameter_id,MGP_IMM_101_001
gene_symbol,AU040320
