gene_symbol,Sdcbp2
mouse_strain,C57BL
gene_accession_id,MGI:2385156
parameter_id,MGP_IMM_130_001
analysis_id,su3p73y69p33s0c
pvalue,0.5590263
parameter_name,CD11b-low cDC - % of CD45+
mouse_life_stage,Early adult
