parameter_name,Glucose
pvalue,0.6349245
gene_accession_id,MGI:1914515
mouse_life_stage,Early adult
parameter_id,HMGULA_CBC_018_001
analysis_id,4g142z4w2715vl0
gene_symbol,Slc39a10
mouse_strain,C57BL
