analysis_id,97fp63s9l815b5g
parameter_id,IMPC_ECG_028_001
pvalue,0.8216865
gene_accession_id,MGI:2181659
mouse_strain,C57BL
gene_symbol,Tox
mouse_life_stage,Early adult
parameter_name,QT
