analysis_id,wq24kf49970vc84
mouse_life_stage,Early adult
pvalue,0.3199651
gene_symbol,Mms22l
mouse_strain,C57BL
parameter_id,MGP_IMM_011_001
parameter_name,Resting Treg cells - % of Treg
gene_accession_id,MGI:2684980
