parameter_name,Ulna
mouse_strain,C57BL
analysis_id,66t347508ptwevx
gene_symbol,Cmpk1
pvalue,0.2448176
parameter_id,IMPC_XRY_023_001
gene_accession_id,MGI:1913838
mouse_life_stage,Early adult
