gene_symbol,Opn3
parameter_name,Center average speed
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1338022
pvalue,0.2738313
analysis_id,grr9419r59bc511
parameter_id,JAX_OFD_017_001
