gene_symbol,Ahcy
mouse_life_stage,E9.5
pvalue,0.5813099
parameter_name,Clavicle
gene_accession_id,MGI:87968
parameter_id,IMPC_XRY_007_001
analysis_id,dv5l96fxak500bf
mouse_strain,C57BL
