analysis_id,4o92263p52g20z9
pvalue,0.1202172
gene_accession_id,MGI:87968
gene_symbol,Ahcy
parameter_name,Radius
mouse_strain,C57BL
mouse_life_stage,E9.5
parameter_id,IMPC_XRY_022_001
