parameter_name,Whole arena average speed
gene_symbol,Inpp1
gene_accession_id,MGI:104848
pvalue,0.3537993
parameter_id,JAX_OFD_009_001
analysis_id,5j46v5qr3ok829w
mouse_life_stage,Early adult
mouse_strain,129SV
