parameter_name,Eye
pvalue,0.994939
gene_accession_id,MGI:95457
gene_symbol,Mecom
parameter_id,M-G-P_014_001_001
analysis_id,3h004ly88rq6t8d
mouse_strain,C3H
mouse_life_stage,Early adult
