parameter_id,IMPC_HEM_038_001
mouse_strain,129SV
parameter_name,Basophil differential count
gene_symbol,Ddx27
mouse_life_stage,Early adult
pvalue,0.4995379
gene_accession_id,MGI:2385884
analysis_id,nc73y53920gz0e9
