parameter_name,Body Weight
gene_symbol,Mms22l
mouse_life_stage,Early adult
gene_accession_id,MGI:2684980
mouse_strain,129SV
parameter_id,M-G-P_012_001_005
analysis_id,2in622f54k0k1eu
pvalue,0.9958294
