analysis_id,2968v0a876x71ks
parameter_name,Lymphocyte differential count
gene_symbol,Dmap1
gene_accession_id,MGI:1913483
mouse_life_stage,E12.5
mouse_strain,C57BL
parameter_id,IMPC_HEM_031_001
pvalue,0.6199801
