gene_symbol,Ubxn11
pvalue,0.6717451
gene_accession_id,MGI:1914836
parameter_id,IMPC_XRY_027_001
parameter_name,Joints
mouse_strain,C57BL
analysis_id,7812yi928g09e1q
mouse_life_stage,Early adult
