analysis_id,ut5dp1r016a9422
gene_symbol,Zyg11b
parameter_name,Periphery permanence time
gene_accession_id,MGI:2685277
parameter_id,JAX_OFD_012_001
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.7200838
