analysis_id,0343s58hei61ceh
gene_symbol,Lamb3
mouse_life_stage,Early adult
gene_accession_id,MGI:99915
parameter_name,Resting CD4+ T helper cells - % of CD4+ T helper cells
mouse_strain,C57BL
pvalue,0.9872268
parameter_id,MGP_MLN_006_001
