parameter_id,IMPC_HEM_002_001
mouse_life_stage,Late adult
mouse_strain,C57BL
gene_accession_id,MGI:1934811
parameter_name,Red blood cell count
pvalue,0.5662316
gene_symbol,Nucks1
analysis_id,g1nnx0anucx5bo0
