gene_symbol,Plcb1
mouse_life_stage,Late adult
gene_accession_id,MGI:97613
parameter_name,Total cholesterol
pvalue,0.5239055
parameter_id,JAXLA_CBC_015_001
mouse_strain,C57BL
analysis_id,939f402s12k0270
