parameter_name,Limb coat/hair presence
parameter_id,MGP_CSD_030_001
pvalue,0.05508786
gene_accession_id,MGI:1929866
mouse_strain,C57BL
gene_symbol,Rgs20
mouse_life_stage,Early adult
analysis_id,xq17l5v08fdskcb
