analysis_id,66zv503kc31p195
pvalue,0.1709251
parameter_name,KLRG1+ CD4- NKT cells - % of CD4- NKT cells
mouse_strain,129SV
parameter_id,MGP_IMM_028_001
gene_accession_id,MGI:1921802
gene_symbol,Nipal3
mouse_life_stage,Early adult
