gene_symbol,Slx4ip
parameter_id,IMPC_ABR_012_001
mouse_life_stage,Early adult
analysis_id,09q504f9qn686f1
parameter_name,30kHz-evoked ABR Threshold
gene_accession_id,MGI:1921493
pvalue,0.223152
mouse_strain,C57BL
