analysis_id,c5jy60ilt70242a
parameter_id,ESLIM_008_001_017
gene_symbol,Car13
mouse_life_stage,Early adult
pvalue,0.2341325
parameter_name,Limb grasping
mouse_strain,C57BL
gene_accession_id,MGI:1931322
