parameter_name,Sodium
analysis_id,uvtle227mw2ilo1
mouse_strain,C57BL
mouse_life_stage,Late adult
gene_accession_id,MGI:2140475
parameter_id,IMPC_CBC_001_001
pvalue,0.7683424
gene_symbol,AU040320
