parameter_name,Tibia length
parameter_id,IMPC_XRY_033_001
gene_symbol,Mapkap1
mouse_strain,C57BL
mouse_life_stage,E15.5
pvalue,0.8657515
analysis_id,i7y334740z5yh2e
gene_accession_id,MGI:2444554
