gene_symbol,Bcs1l
mouse_strain,C57BL
analysis_id,1l0o0h52ivau23m
parameter_id,IMPC_HEM_008_001
mouse_life_stage,E9.5
pvalue,0.3211122
gene_accession_id,MGI:1914071
parameter_name,Platelet count
