gene_symbol,Arpc2
analysis_id,40kjqb443a37zg0
parameter_id,MGP_IMM_028_001
parameter_name,KLRG1+ CD4- NKT cells - % of CD4- NKT cells
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1923959
pvalue,0.1545617
