gene_symbol,Sla2
analysis_id,i26l9i29okuk7i1
gene_accession_id,MGI:1925049
pvalue,0.3216521
mouse_strain,C57BL
parameter_id,IMPC_IMM_071_001
mouse_life_stage,Early adult
parameter_name,MZB (CD21/35 high)
