parameter_name,Placenta Morphology
gene_accession_id,MGI:3522699
gene_symbol,Trpa1
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.7130652
analysis_id,fh7g24k417q8104
parameter_id,IMPC_GPO_002_001
