gene_symbol,Bcs1l
parameter_name,Effector gd T cells - % of gd T cells
analysis_id,47t1nfx2us46h5y
mouse_strain,C57BL
parameter_id,MGP_IMM_020_001
pvalue,0.9599904
gene_accession_id,MGI:1914071
mouse_life_stage,E12.5
