parameter_name,Tibia length
gene_accession_id,MGI:1924315
mouse_life_stage,E9.5
parameter_id,IMPC_XRY_033_001
gene_symbol,Ints7
pvalue,0.5138691
analysis_id,l9n0p2ketls74vk
mouse_strain,C57BL
