analysis_id,70x34azdnmp3u3h
gene_symbol,Frmpd1
pvalue,0.09182438
parameter_name,Periphery permanence time
parameter_id,IMPC_OFD_012_001
mouse_strain,C57BL
mouse_life_stage,Late adult
gene_accession_id,MGI:2446274
