gene_symbol,Mms22l
parameter_name,Periphery average speed
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,HRWLLA_OFD_013_001
analysis_id,10s3z1q30s3r9y6
gene_accession_id,MGI:2684980
pvalue,0.7774183
