parameter_name,Neutrophils
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1338032
analysis_id,72966fga6g5j8j3
gene_symbol,Sema6c
parameter_id,IMPC_IMM_050_001
pvalue,0.8463739
