Gene_symbol,Pglyrp3
Mouse_strain,C57BL
Gene_accession_id,MGI:2685266
Parameter_id,IMPC_CSD_007_001
parameter_name,Coat - color - abdomen
Pvalue,0.2483017
analysis_id,wmj661q68bqa2h9
mouse_life_stage,Early adult
