analysis_id,zkgvcxv2405fw4m
mouse_life_stage,Late adult
gene_accession_id,MGI:1336200
parameter_name,Heart looping
parameter_id,IMPC_GEL_057_001
mouse_strain,C57BL
gene_symbol,Hpca
pvalue,0.2182527
