parameter_id,ICS_FEA_019_001
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,% Freezing duration pre-cue-2
gene_accession_id,MGI:97838
gene_symbol,Eprs1
pvalue,0.5500411
analysis_id,8n02dn91axdi154
