parameter_name,Total holepokes
mouse_strain,129SV
pvalue,0.7602948
gene_accession_id,MGI:1332236
analysis_id,09aisuw0g2ue7o2
parameter_id,JAXLA_HBD_001_001
mouse_life_stage,Early adult
gene_symbol,Cds2
