analysis_id,g41hcz15fmqd81k
gene_accession_id,MGI:1931749
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.2348297
parameter_name,Mean corpuscular hemoglobin
gene_symbol,Pum1
parameter_id,IMPC_HEM_006_001
