analysis_id,d85go22977xn79u
parameter_id,IMPC_CBC_008_001
mouse_life_stage,Early adult
pvalue,0.5705409
mouse_strain,C57BL
gene_accession_id,MGI:1913396
parameter_name,Total bilirubin
gene_symbol,Maco1
