Parameter_name,Ly6Clow monocyte number
Mouse_life_stage,Early adult
Gene_accession_id,MGI:1916846
Analysis_id,243yf8s947898u3
Gene_symbol,Ap5s1
pvalue,0.7957218
Mouse_strain,C57BL
Parameter_id,MGP_PBI_038_001
