gene_symbol,RAB13
analysis_id,a5k2mizdr9v6y9v
gene_accession_id,MGI:1927232
mouse_life_stage,Early adult
parameter_name,Weight
pvalue,0.1574198
mouse_strain,C57BL
parameter_id,M-G-P_005_001_001
