analysis_id,kvdub540ixz72yo
pvalue,0.4544613
parameter_name,Weight
mouse_life_stage,Early adult
gene_accession_id,MGI:2444554
mouse_strain,C57BL
gene_symbol,Mapkap1
parameter_id,CCP_LFO_001_001
