analysis_id,m2d0j951e3de39u
parameter_name,Body weight
gene_symbol,Zyg11b
gene_accession_id,MGI:2685277
pvalue,0.6424283
mouse_strain,C57BL
parameter_id,M-G-P_009_001_003
mouse_life_stage,E18.5
