analysis_id,5xhm0781569j784
pvalue,0.1718512
parameter_id,MGP_PBI_027_001
parameter_name,NK cell number
mouse_life_stage,E9.5
gene_symbol,Eprs1
gene_accession_id,MGI:97838
mouse_strain,C57BL
