analysis_id,ed2654771y3nn32
parameter_name,KLRG1+ mature NK cell percentage
parameter_id,MGP_PBI_011_001
mouse_strain,C57BL
pvalue,0.5241823
gene_symbol,Traf6
mouse_life_stage,Early adult
gene_accession_id,MGI:108072
