analysis_id,x4nk9n8bk853unt
gene_symbol,Ints7
parameter_id,IMPC_GEL_006_001
parameter_name,Pericardium Morphology
mouse_strain,C57BL
gene_accession_id,MGI:1924315
mouse_life_stage,E9.5
pvalue,0.08864334
