analysis_id,832t2xe7542e75x
gene_accession_id,MGI:95576
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_010_001
pvalue,0.6142429
parameter_name,Phosphorus
gene_symbol,Fpgs
mouse_strain,C57BL
