gene_symbol,Bmp7
parameter_name,ST
mouse_strain,C57BL
gene_accession_id,MGI:103302
pvalue,1.05803
mouse_life_stage,Early adult
analysis_id,4f0u13peiq4j209
parameter_id,IMPC_ECG_008_001
