parameter_id,HRWLLA_OFD_017_001
parameter_name,Center average speed
gene_accession_id,MGI:99915
gene_symbol,Lamb3
mouse_life_stage,Early adult
pvalue,0.7319481
analysis_id,82v209y44b75hxv
mouse_strain,C57BL
