analysis_id,wo21853380m7448
mouse_life_stage,Early adult
pvalue,0.4366531
mouse_strain,C57BL
gene_symbol,Lamb3
gene_accession_id,MGI:99915
parameter_name,Red blood cell distribution width
parameter_id,IMPC_HEM_027_001
