gene_symbol,Bdh2
analysis_id,63kuwu66m1kbiq6
gene_accession_id,MGI:1917022
mouse_strain,C57BL
parameter_id,JAX_OFD_012_001
pvalue,0.5096744
parameter_name,Periphery permanence time
mouse_life_stage,Early adult
