analysis_id,587x1rh3db2i1n4
gene_symbol,Rufy4
mouse_life_stage,Early adult
pvalue,0.9148908
parameter_id,IMPC_CBC_013_001
gene_accession_id,MGI:3588214
mouse_strain,C57BL
parameter_name,Alanine aminotransferase
