gene_symbol,Il1r1
parameter_name,Neutrophil percentage
analysis_id,4rt2160g4055446
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.4965202
gene_accession_id,MGI:96545
parameter_id,MGP_PBI_019_001
