parameter_id,IMPC_GEL_033_001
mouse_life_stage,Late adult
parameter_name,Tail bud morphology
gene_symbol,Slc30a4
analysis_id,h9o6u78499o9pg4
mouse_strain,C57BL
pvalue,0.1719561
gene_accession_id,MGI:1345282
