parameter_name,30kHz-evoked ABR Threshold
mouse_strain,C57BL
gene_accession_id,MGI:88461
pvalue,0.3051514
mouse_life_stage,Early adult
gene_symbol,Col6a3
analysis_id,1e4fgoslk8kd57j
parameter_id,IMPC_ABR_012_001
